generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small
32,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
33,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
34,0.5935775476023705,0.5953445170122521,0.5957862593647225,0.0008834847049408179,0,12
35,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
36,0.5935775476023705,0.6235180385383823,0.6310031612723853,0.014970245468005938,0,12
37,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
38,0.5935775476023705,0.6140436113512074,0.6191601272884167,0.010233031874418508,0,12
39,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
40,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
41,0.5935775476023705,0.5953445170122521,0.5957862593647225,0.0008834847049408179,0,12
42,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
43,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
44,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
45,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
46,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
47,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
48,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
49,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
50,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
51,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
52,0.5935775476023705,0.5953445170122521,0.5957862593647225,0.0008834847049408179,0,12
53,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
54,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
55,0.5935775476023705,0.6140436113512074,0.6191601272884167,0.010233031874418508,0,12
56,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
57,0.5935775476023705,0.6140436113512074,0.6191601272884167,0.010233031874418508,0,12
58,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
59,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
60,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
61,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
62,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
63,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
64,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
65,0.5935775476023705,0.6140436113512074,0.6191601272884167,0.010233031874418508,0,12
66,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
67,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
68,0.5935775476023705,0.6000827854330438,0.6017090948907122,0.0032526189153367024,0,12
69,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
70,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
71,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
72,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
73,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
74,0.5935775476023705,0.5953445170122521,0.5957862593647225,0.0008834847049408179,0,12
75,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
76,0.5935775476023705,0.6039056819897641,0.6064877155866125,0.0051640671936968195,0,12
77,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
78,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
79,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
80,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
81,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
82,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
